"feature","frequency","rank","docfreq","group"
"several",132,328,126,"all"
"tonight",132,328,127,"all"
"nice",132,328,125,"all"
"center",131,332,120,"all"
"half",130,333,119,"all"
"anyone",130,333,124,"all"
"early",128,335,121,"all"
"stop",128,335,123,"all"
"please",128,335,123,"all"
"add",128,335,110,"all"
"country",127,339,114,"all"
"students",127,339,104,"all"
"probably",126,341,123,"all"
"using",126,341,115,"all"
"young",126,341,108,"all"
"hours",126,341,113,"all"
"coming",126,341,122,"all"
"side",124,346,107,"all"
"month",124,346,118,"all"
"court",124,346,108,"all"
"music",124,346,106,"all"
"games",123,350,111,"all"
"later",123,350,120,"all"
"five",123,350,112,"all"
"comes",123,350,123,"all"
"less",123,350,121,"all"
"st",122,355,112,"all"
"full",120,356,115,"all"
"thank",119,357,112,"all"
"we're",119,357,113,"all"
"friend",118,359,108,"all"
"important",118,359,113,"all"
"favorite",118,359,109,"all"
"local",118,359,113,"all"
"idea",118,359,110,"all"
"talk",117,364,109,"all"
"s",117,364,107,"all"
"care",117,364,101,"all"
"i'll",117,364,112,"all"
"else",117,364,116,"all"
"national",117,364,111,"all"
"there's",116,370,108,"all"
"number",116,370,106,"all"
"asked",116,370,114,"all"
"program",116,370,100,"all"
"weeks",115,374,105,"all"
"line",115,374,107,"all"
"running",115,374,109,"all"
"check",115,374,101,"all"
"series",115,374,99,"all"
"lost",115,374,107,"all"
"hear",115,374,111,"all"
"friday",115,374,111,"all"
"mind",114,382,109,"all"
"almost",114,382,111,"all"
"whole",114,382,107,"all"
"car",114,382,92,"all"
"office",114,382,109,"all"
"area",114,382,106,"all"
"sunday",114,382,111,"all"
"news",113,389,104,"all"
"health",113,389,96,"all"
"share",113,389,100,"all"
"president",113,389,102,"all"
"according",112,393,110,"all"
"red",112,393,99,"all"
"party",112,393,97,"all"
"cut",112,393,100,"all"
"support",112,393,109,"all"
"government",112,393,101,"all"
"service",111,399,97,"all"
"face",111,399,106,"all"
"park",111,399,93,"all"
"special",110,402,103,"all"
"given",110,402,108,"all"
"wait",110,402,105,"all"
"soon",110,402,107,"all"
"sometimes",109,406,98,"all"
"move",109,406,103,"all"
"summer",109,406,104,"all"
"women",109,406,93,"all"
"road",109,406,98,"all"
"street",108,411,99,"all"
"tomorrow",108,411,104,"all"
"reason",107,413,107,"all"
"thinking",107,413,106,"all"
"pay",107,413,99,"all"
"along",107,413,101,"all"
"law",107,413,95,"all"
"list",107,413,94,"all"
"large",106,419,101,"all"
"thursday",106,419,100,"all"
"decided",105,421,99,"all"
"become",105,421,103,"all"
"stay",105,421,102,"all"
"saw",105,421,102,"all"
"miss",105,421,100,"all"
"university",105,421,92,"all"
"process",104,427,95,"all"
"felt",104,427,97,"all"
"ready",104,427,102,"all"
"amazing",104,427,100,"all"
"information",104,427,97,"all"
"power",104,427,93,"all"
"beautiful",104,427,100,"all"
"remember",104,427,101,"all"
